"School ID","School Short Name","School Long Name","Principal Name","Principal Email","Principal 2 Name","Principal 2 Email","Asst. Principal 1 Name","Asst. Principal 1 Email","Asst. Principal 2 Name","Asst. Principal 2 Email","Asst. Principal 3 Name","Asst. Principal 3 Email","Asst. Principal 4 Name","Asst. Principal 4 Email","Asst. Principal 5 Name","Asst. Principal 5 Email","Asst. Principal 6 Name","Asst. Principal 6 Email","PHONE","FAX","Website URL","School Hours","School Address","Delivery Address","Governance","Category","Network","Mail Run GSR","NCES ID","CPS Legacy Unit","ISBE ID","ISBE Name","Primary Grade Category","Secondary Grade Category","Current Grades Served","Grade Served at Maturity","Replication"
"400010","ACE TECH HS","ACE Technical Charter School","Mr. Marvin Talley","mtalley@acetechnical.org","","","","","","","","","","","","","","","(773)548-8705","(773)548-8706","http://www.acetechnical.org","7:40 AM-3:22 PM","5410 S STATE ST Chicago IL 60609","5410 S STATE ST Chicago IL 60609","Charter","HS","Charter","42","{170993005051}","7950","{15016299025009C}","Ace Technical Charter High School","High","","9,10,11,12","9,10,11,12",""
"609772","ADDAMS","Jane Addams Elementary School","Ruth E Martini Walsh","REMartini@cps.edu","","","Daniel R Alvarez","DRAlvarez@cps.edu","","","","","","","","","","","(773)535-6210","(773)535-6292","http://www.jaddams.org","08:00 AM-03:00 PM","10810 S AVENUE H Chicago IL 60617-6726","10810 S AVENUE H Chicago IL 60617-6726","District","ES","ISP","47","{170993000884}","2020","{150162990252051}","Addams Elem School","Elementary","","PK,K,1,2,3,4,5,6,7,8","PK,K,1,2,3,4,5,6,7,8",""
"609773","AGASSIZ","Louis A Agassiz Elementary School","Mira Tova Weber","MTWeber@cps.edu","","","Michele Eileen Mcnally","MEMcnally@cps.edu","","","","","","","","","","","(773)534-5725","(773)534-5784","http://agassizschool.org","7:45  AM - 2:45  PM","2851 N SEMINARY AVE Chicago IL 60657","2851 N SEMINARY AVE Chicago IL 60657","District","ES","ISP","33","{170993000763}","2030","{150162990252052}","Agassiz Elem School","Elementary","","PK,K,1,2,3,4,5,6,7,8","PK,K,1,2,3,4,5,6,7,8",""
"400060","AHS - PASSAGES","Asian Human Services - Passages Charter School","Ms. Maritza Torres","mtorres@ahschicago.org","","","","","","","","","","","","","","","(773)433-3530","(773)769-3229","http://www.passagescharterschool.com","8:10 AM-3:30 PM","1643 W BRYN MAWR AVE Chicago IL 60660","1643 W BRYN MAWR AVE Chicago IL 60660","Charter","ES","Charter","32","{170993005682}","6850","{15016299025214C}","Asian Human Services-Passage Chrtr","Elementary","","K,1,2,3,4,5,6,7,8","K,1,2,3,4,5,6,7,8",""
"610513","AIR FORCE HS","Air Force Academy High School","Mrs.Yashika N Tippett-Eggleston","YNTippett@cps.edu","","","Valencia Carnette Hudson-Barnes","VCHudson@cps.edu","","","","","","","","","","","(773)535-1590","(773)535-1847","http://www.afahs.org","07:30 AM-03:00 PM","3630 S WELLS ST Chicago IL 60609","","District","HS","Service Leadership Academies","39","{170993006055}","1055","{150162990250848}","Air Force Acad High School","High","","9,10,11,12","9,10,11,12",""
"610212","ALBANY PARK","Albany Park Multicultural Academy","Hiliana Araceli Leon","HALeon@cps.edu","","","Marie Ann Garza-Hammerlund","MAGarza@cps.edu","","","","","","","","","","","(773)534-5108","(773)534-5178","http://albanypark.cps.edu","08:00 AM-03:00 PM","4929 N SAWYER AVE Chicago IL 60625","4929 N SAWYER AVE Chicago IL 60625","District","MS","Network 1","31","{170993004962}","6290","{150162990252850}","Albany Park Multicultural Elem","Elementary","Middle","7,8","7,8",""
"609774","ALCOTT ES","Louisa May Alcott College Preparatory ES","Elias Estrada","EEstrada1@cps.edu","","","Navjeet K Allen","NKAllen1@cps.edu","Grace Marie Moody","GMMoody@cps.edu","","","","","","","","","(773)534-5460","(773)534-5789","http://www.alcottelementary.net/","7:30  AM - 2:30  PM","2625 N ORCHARD ST Chicago IL 60614-1573","2625 N ORCHARD ST Chicago IL 60614","District","ES","Network 4","33","{170993000804}","2040","{150162990252053}","Alcott Elem School","Elementary","Combination","PK,K,1,2,3,4,5,6,7,8","PK,K,1,2,3,4,5,6,7,8",""
"610524","ALCOTT HS","Louisa May Alcott College Preparatory HS","Elias Estrada","EEstrada1@cps.edu","","","","","","","","","","","","","","","(773)534-5970","(773)534-5971","http://www.alcottcollegeprep.net","M, T, W, Th: 7:45 AM-3:05 PM F:  7:45 AM-2:07 PM","2957 N HOYNE AVE Chicago IL 60618-8208","","District","HS","Network 4","33","{170993006072}","8035","{150162990250849}","Alcott Humanities High School","High","Combination","9,10,11,12","9,10,11,12",""
"609848","ALDRIDGE","Ira F Aldridge Elementary School","Cynthia L Treadwell","cltreadwell1@cps.edu","","","","","","","","","","","","","","","(773)535-5614","(773)535-5613","http://aldridge.cps.edu","08:30 AM-03:30 PM","630 E 131ST ST Chicago IL 60827","630 E 131ST ST Chicago IL 60827","District","ES","Network 13","48","{170993001168}","2710","{150162990252054}","Aldridge Elem School","Elementary","","PK,K,1,2,3,4,5,6,7,8","PK,K,1,2,3,4,5,6,7,8",""
"609695","AMUNDSEN HS","Roald Amundsen High School","Anna Pavichevich","APavichevich@cps.edu","","","Ms.Kristi Marie Eilers","kmeilers1@cps.edu","Minh Van Nguyen","MVNguyen@cps.edu","Cybill E Ortiz","CEOrtiz1@cps.edu","","","","","","","(773)534-2320","(773)534-2330","http://www.amundsenhs.org","7:45  AM - 3:00  PM","5110 N DAMEN AVE Chicago IL 60625","5110 N DAMEN AVE Chicago IL 60625","District","HS","Network 2","31","{170993000587}","1210","{150162990250001}","Amundsen High School","High","","9,10,11,12","9,10,11,12",""
"609951","ARIEL","Ariel Elementary Community Academy","Lennette Alyce Coleman","LAColeman@cps.edu","","","","","","","","","","","","","","","(773)535-1996","(773)535-1931","http://www.arielcomacademy.weebly.com","08:15 AM-03:15 PM","1119 E 46TH ST Chicago IL 60653","1119 E 46TH ST Chicago IL 60653","District","ES","ISP","46","{170993001607}","3640","{150162990252895}","Ariel Elem Community Academy","Elementary","","PK,K,1,2,3,4,5,6,7,8","PK,K,1,2,3,4,5,6,7,8",""
"609777","ARMOUR","Phillip D Armour Elementary School","Shelley Marie Lugo Cordova","SMCordova@cps.edu","","","","","","","","","","","","","","","(773)535-4530","(773)535-4501","http://armour.cps.edu","7:45 am-2:45 pm","950 W 33RD PL Chicago IL 60608","950 W 33RD PL Chicago IL 60608","District","ES","Network 6","39","{170993001001}","2070","{150162990252058}","Armour Elem School","Elementary","","PK,K,1,2,3,4,5,6,7,8","PK,K,1,2,3,4,5,6,7,8",""
